"gcr1.26","Points:0","Points:1","Points:2"
0.0039999,-15.2,2.5516,14.287
0.0036817,-15.2,2.168,14.287
0.0033872,-15.2,1.8254,14.287
0.0031151,-15.2,1.5195,14.287
0.0028673,-15.2,1.2464,14.287
0.0026452,-15.2,1.0025,14.287
0.0024455,-15.2,0.78482,14.287
0.0022749,-15.2,0.59043,14.287
0.002147,-15.2,0.41687,14.287
0.0020755,-15.2,0.2619,14.287
0.002092,-15.2,0.12354,14.287
0.0021275,-15.2,0,14.287
4.109e-10,-15.2,19.4,15.025
3.3062e-09,-15.2,19.341,15.025
2.893e-08,-15.2,19.272,15.025
1.7996e-07,-15.2,19.193,15.025
8.819e-07,-15.2,19.1,15.025
3.6013e-06,-15.2,18.993,15.025
1.2696e-05,-15.2,18.869,15.025
3.9506e-05,-15.2,18.725,15.025
0.00010992,-15.2,18.558,15.025
0.00027548,-15.2,18.364,15.025
0.00062449,-15.2,18.139,15.025
0.0012838,-15.2,17.879,15.025
0.0023969,-15.2,17.576,15.025
0.0040688,-15.2,17.225,15.025
0.0062888,-15.2,16.818,15.025
0.0088695,-15.2,16.346,15.025
0.011452,-15.2,15.798,15.025
0.013597,-15.2,15.162,15.025
0.01493,-15.2,14.425,15.025
0.015262,-15.2,13.57,15.025
0.01463,-15.2,12.578,15.025
0.013257,-15.2,11.428,15.025
0.011559,-15.2,10.093,15.025
0.010133,-15.2,8.9013,15.025
0.008945,-15.2,7.8373,15.025
0.0079718,-15.2,6.8873,15.025
0.0071705,-15.2,6.039,15.025
0.0065014,-15.2,5.2817,15.025
0.0059325,-15.2,4.6055,15.025
0.0054384,-15.2,4.0017,15.025
0.0049998,-15.2,3.4627,15.025
0.0046018,-15.2,2.9814,15.025
0.0042383,-15.2,2.5516,15.025
0.0039053,-15.2,2.168,15.025
0.003596,-15.2,1.8254,15.025
0.0033093,-15.2,1.5195,15.025
0.003045,-15.2,1.2464,15.025
0.0028081,-15.2,1.0025,15.025
0.0025981,-15.2,0.78482,15.025
0.0024129,-15.2,0.59043,15.025
0.0022719,-15.2,0.41687,15.025
0.0021948,-15.2,0.2619,15.025
0.0022069,-15.2,0.12354,15.025
0.0022398,-15.2,0,15.025
4.6471e-10,-15.2,19.4,15.763
3.7505e-09,-15.2,19.341,15.763
3.2989e-08,-15.2,19.272,15.763
2.0591e-07,-15.2,19.193,15.763
1.0096e-06,-15.2,19.1,15.763
4.117e-06,-15.2,18.993,15.763
1.4486e-05,-15.2,18.869,15.763
4.4995e-05,-15.2,18.725,15.763
0.00012499,-15.2,18.558,15.763
0.00031273,-15.2,18.364,15.763
0.00070743,-15.2,18.139,15.763
0.0014502,-15.2,17.879,15.763
0.0026975,-15.2,17.576,15.763
0.004558,-15.2,17.225,15.763
0.0070071,-15.2,16.818,15.763
0.0098236,-15.2,16.346,15.763
0.012604,-15.2,15.798,15.763
0.014871,-15.2,15.162,15.763
0.016229,-15.2,14.425,15.763
0.016496,-15.2,13.57,15.763
0.015735,-15.2,12.578,15.763
0.014197,-15.2,11.428,15.763
0.012335,-15.2,10.093,15.763
0.010793,-15.2,8.9013,15.763
0.0095181,-15.2,7.8373,15.763
0.0084793,-15.2,6.8873,15.763
0.0076277,-15.2,6.039,15.763
0.0069193,-15.2,5.2817,15.763
0.0063188,-15.2,4.6055,15.763
0.0057989,-15.2,4.0017,15.763
0.0053386,-15.2,3.4627,15.763
0.0049217,-15.2,2.9814,15.763
0.0045393,-15.2,2.5516,15.763
0.0041873,-15.2,2.168,15.763
0.0038601,-15.2,1.8254,15.763
0.0035552,-15.2,1.5195,15.763
0.003272,-15.2,1.2464,15.763
0.0030168,-15.2,1.0025,15.763
0.0027919,-15.2,0.78482,15.763
0.0025924,-15.2,0.59043,15.763
0.0024344,-15.2,0.41687,15.763
0.0023472,-15.2,0.2619,15.763
0.0023577,-15.2,0.12354,15.763
0.0023908,-15.2,0,15.763
5.5124e-10,-15.2,19.4,16.4
4.4641e-09,-15.2,19.341,16.4
3.9516e-08,-15.2,19.272,16.4
2.4731e-07,-15.2,19.193,16.4
1.2104e-06,-15.2,19.1,16.4
4.9131e-06,-15.2,18.993,16.4
1.7191e-05,-15.2,18.869,16.4
5.3099e-05,-15.2,18.725,16.4
0.00014673,-15.2,18.558,16.4
0.00036521,-15.2,18.364,16.4
0.00082166,-15.2,18.139,16.4
0.0016743,-15.2,17.879,16.4
0.0030939,-15.2,17.576,16.4
0.0051903,-15.2,17.225,16.4
0.007918,-15.2,16.818,16.4
0.011013,-15.2,16.346,16.4
0.014018,-15.2,15.798,16.4
0.016413,-15.2,15.162,16.4
0.017785,-15.2,14.425,16.4
0.017962,-15.2,13.57,16.4
0.017036,-15.2,12.578,16.4
0.015298,-15.2,11.428,16.4
0.013235,-15.2,10.093,16.4
0.011554,-15.2,8.9013,16.4
0.010175,-15.2,7.8373,16.4
0.0090575,-15.2,6.8873,16.4
0.0081461,-15.2,6.039,16.4
0.0073907,-15.2,5.2817,16.4
0.0067526,-15.2,4.6055,16.4
0.0062018,-15.2,4.0017,16.4
0.0057155,-15.2,3.4627,16.4
0.0052763,-15.2,2.9814,16.4
0.0048721,-15.2,2.5516,16.4
0.0044988,-15.2,2.168,16.4
0.0041519,-15.2,1.8254,16.4
0.0038269,-15.2,1.5195,16.4
0.0035251,-15.2,1.2464,16.4
0.003249,-15.2,1.0025,16.4
0.0030055,-15.2,0.78482,16.4
0.0027941,-15.2,0.59043,16.4
0.0026212,-15.2,0.41687,16.4
0.0025228,-15.2,0.2619,16.4
0.0025297,-15.2,0.12354,16.4
0.0025612,-15.2,0,16.4
6.8389e-10,-15.2,19.4,16.948
5.5478e-09,-15.2,19.341,16.948
4.9475e-08,-15.2,19.272,16.948
3.1026e-07,-15.2,19.193,16.948
1.5122e-06,-15.2,19.1,16.948
6.0906e-06,-15.2,18.993,16.948
2.1116e-05,-15.2,18.869,16.948
6.4633e-05,-15.2,18.725,16.948
0.00017705,-15.2,18.558,16.948
0.00043697,-15.2,18.364,16.948
0.00097475,-15.2,18.139,16.948
